OBJECTID,PRICE_NODE,Node_Type,PRICEND_ID,Rec_ID,ACTIV_NODE,Plant,Unit,Substation,ISO_Zone,County,State,Plant_ID,Unit_ID,Settlement,Roll_LMP,Roll_WW,NW_LMP,RT_LMP,Latitude,Longitude
-1,EDE_EC_04,Generator,887200,14165,Y,Empire Energy Center,4, ,EDE_EDE,Jasper,MO,74234,607062,EDE_EC_04,27.520000000000000,26.870000000000001,28.050000000000001,0.000000000000000,37.138409000000024,-94.104345999999964
-1,EDE_EDE,Zone,887113,14166,Y, , , ,EDE_EDE,Cherokee,KS,-99,-99,EDE_EDE,27.030000000000001,26.149999999999999,27.739999999999998,0.000000000000000,37.067730000000040,-94.695097999999973
-1,EDE_ERW,Generator,887156,14167,Y,Elk River Windfarm,WT1 100, ,EDE_EDE,Butler,KS,606181,606182,EDE_ERW,20.609999999999999,16.640000000000001,23.789999999999999,0.000000000000000,37.601966000000061,-96.555628999999954
-1,EDE_IATAN,Generator,887178,14168,Y,Iatan,1, ,EDE_EDE,Platte,MO,1719,386965,EDE_IATAN,20.800000000000001,17.920000000000002,23.109999999999999,0.000000000000000,39.447632000000056,-94.980060999999978
-1,EDE_IATAN2,Generator,1313668,14169,Y,Iatan,2, ,EDE_EDE,Platte,MO,1719,588549,EDE_IATAN2,20.800000000000001,17.920000000000002,23.109999999999999,0.000000000000000,39.447632000000056,-94.980060999999978
-1,EDE_MWW,Generator,1152383,14170,Y,Meridian Way Wind Farm,WT1 34, ,EDE_EDE,Cloud,KS,737302,737303,EDE_MWW,20.100000000000001,15.570000000000000,23.719999999999999,0.000000000000000,39.429062000000044,-97.587230999999974
-1,EDE_PLUMPOINT,Generator,1217939,14171,Y,Plum Point Energy,ST1, ,EDE_EDE,Mississippi,AR,588238,604982,EDE_PLUMPOINT,24.410000000000000,23.140000000000001,25.420000000000002,0.000000000000000,35.663714000000027,-89.945475999999985
-1,EDE_RIV_10,Generator,887237,14175,Y,Riverton,10, ,EDE_EDE,Cherokee,KS,2447,392992,EDE_RIV_10,27.710000000000001,27.930000000000000,27.539999999999999,0.000000000000000,37.072584000000063,-94.698949999999968
-1,EDE_RIV_11,Generator,887238,14176,Y,Riverton,11, ,EDE_EDE,Cherokee,KS,2447,392993,EDE_RIV_11,27.710000000000001,27.930000000000000,27.539999999999999,0.000000000000000,37.072584000000063,-94.698949999999968
-1,EDE_RIV_12,Generator,887244,14177,Y,Riverton,12, ,EDE_EDE,Cherokee,KS,2447,737758,EDE_RIV_12,27.280000000000001,27.570000000000000,27.050000000000001,0.000000000000000,37.072584000000063,-94.698949999999968
-1,EDE_SL_01,Generator,887608,14178,Y,State Line Combined Cycle,1, ,EDE_EDE,Jasper,MO,1792,389551,EDE_SL_01,27.230000000000000,27.079999999999998,27.350000000000001,0.000000000000000,37.066130000000044,-94.612905999999953
-1,EES,Interface,887619,14286,Y, , , ,Unknown,Hinds,MS,-99,-99,EES,23.520000000000000,21.730000000000000,24.949999999999999,0.000000000000000,32.076637000000062,-90.525859999999966
-1,ERCOTE,Interface,887620,15050,Y, , , ,Unknown,Titus,TX,-99,-99,ERCOTE,25.670000000000002,24.940000000000001,26.260000000000002,0.000000000000000,33.054804000000047,-94.837638999999967
-1,ERCOTN,Interface,887621,15051,Y, , , ,Unknown,Wise,TX,-99,-99,ERCOTN,21.359999999999999,17.460000000000001,24.489999999999998,0.000000000000000,33.217370000000074,-97.565419999999961
-1,EXELON10_11,Generator,1132062,15296,Y,Exelon Wind 10,WT1 8, ,SPS_SPS,Moore,TX,919998,920000,EXELON10_11,12.310000000000000,4.910000000000000,18.239999999999998,0.000000000000000,35.961394000000041,-101.803302999999971
-1,EXELON1_2,Generator,1134795,15297,Y,Exelon Wind 1,WT1 8, ,SPS_SPS,Hansford,TX,870321,870323,EXELON1_2,11.300000000000001,3.460000000000000,17.570000000000000,0.000000000000000,36.498562000000049,-101.487238999999988
-1,EXELON3,Generator,1681875,15298,Y,Exelon Wind 3,WT1 8, ,SPS_SPS,Hansford,TX,870394,870395,EXELON3,11.430000000000000,3.880000000000000,17.469999999999999,0.000000000000000,36.441895000000045,-101.341373999999973
-1,EXELON4,Generator,1681870,15299,Y,Exelon Wind 4,WT1 38, ,SPS_SPS,Hansford,TX,919980,919982,EXELON4,10.590000000000000,2.790000000000000,16.840000000000000,0.000000000000000,36.385920000000056,-101.372061999999971
-1,EXELON5_6,Generator,1134794,15300,Y,Exelon Wind 5,WT1 8, ,SPS_SPS,Sherman,TX,919971,919973,EXELON5_6,11.650000000000000,4.030000000000000,17.750000000000000,0.000000000000000,36.445466000000067,-101.868839999999977
-1,EXELON7_8,Generator,1132065,15301,Y,Exelon Wind 7,WT1 8, ,SPS_SPS,Moore,TX,919983,919985,EXELON7_8,12.500000000000000,4.900000000000000,18.579999999999998,0.000000000000000,35.995519000000058,-101.859453999999971
-1,EXELON9,Generator,1681873,15302,Y,Exelon Wind 9,WT1 8, ,SPS_SPS,Moore,TX,919992,919997,EXELON9,12.100000000000000,4.560000000000000,18.129999999999999,0.000000000000000,35.963708000000054,-101.838902999999959
-1,EXELON_HPW1,Generator,1681867,15303,Y,Wege Wind Energy Farm,WT1 8, ,SPS_SPS,Carson,TX,916300,916308,EXELON_HPW1,9.470000000000001,1.620000000000000,15.750000000000000,0.000000000000000,35.349369000000024,-101.536642999999970
-1,FLAT_WATER,Generator,1317515,15859,Y,Flat Water Wind Farm,WT1 40, ,OPPD_OPPD,Richardson,NE,1183507,1183511,FLAT_WATER,20.949999999999999,18.260000000000002,23.109999999999999,0.000000000000000,40.012914000000080,-95.907452999999975
